model,parameters,subset,hessian,prior precision,bayes loss,gibbs loss,bayes loss train,gibbs loss train,neg log marginal laplace,neg log marginal,normalized KL,last layer params,inverse rate,s value,variance
ConvNN-699k,699207.0,last_layer,kron,0.0099999997764825,1.6212124,2.3248982,0.046678178,0.06916404,0.2044589453125,0.2519197603607178,0.18275572265625,2860,1.9210291918899087,0.1830356935812809,19.222061157226562
ConvNN-746k,746196.0,last_layer,kron,0.0099999997764825,1.5158696,2.1718392,0.046906337,0.06958812,0.2059363671875,0.251562863395214,0.18197474609375,2950,1.8204230040888894,0.18225470139893726,17.725505828857422
ConvNN-781k,781406.0,last_layer,kron,0.0099999997764825,1.481715,2.1512032,0.047510356,0.07119403,0.21139365234375,0.2582035811257362,0.18700955078125,3030,1.8185551860255162,0.18728960678454498,17.46366310119629
ConvNN-830k,830585.0,last_layer,kron,0.0099999997764825,1.517496,2.2204535,0.048762552,0.07297554,0.21794068359375,0.2663394644522667,0.19336392578125,3110,1.8827708439933464,0.19364410887458677,17.983274459838867
ConvNN-868k,868171.0,last_layer,kron,0.0099999997764825,1.4352542,2.1211846,0.04994037,0.07587522,0.2184882421875,0.2680207890892029,0.19214556640625,3200,1.8106562006941977,0.19242572513191192,17.27005386352539
ConvNN-919k,919971.0,last_layer,kron,0.0099999997764825,1.4225934,2.1412108,0.052254397,0.08114883,0.21770751953125,0.2705177978801727,0.18936896484375,3280,1.8172233988360051,0.18964906803627002,17.182403564453125
ConvNN-973k,973754.0,last_layer,kron,0.0099999997764825,1.405946,2.1137288,0.05265695,0.08218907,0.22777005859375,0.281773326010704,0.1995842578125,3370,1.8147586121706825,0.19986456531496558,16.81060791015625
ConvNN-1013k,1013923.0,last_layer,kron,0.0099999997764825,1.3598163,2.1028123,0.054902166,0.087363996,0.22800048828125,0.2860047768616676,0.19864078125,3450,1.8058207604558782,0.19892106988255695,16.63902473449707
ConvNN-1069k,1069836.0,last_layer,kron,0.0099999997764825,1.3425292,2.0806892,0.056031384,0.09055323,0.22915712890625,0.2883832901310921,0.19783005859375,3530,1.7855883655696558,0.19811033101152953,16.18958282470703
ConvNN-1112k,1112441.0,last_layer,kron,0.0099999997764825,1.2958374,2.0538764,0.058392975,0.095261455,0.235651640625,0.2993691108322143,0.20410765625,3620,1.7666529443580197,0.20438805422224374,15.526034355163574
ConvNN-1170k,1170975.0,last_layer,kron,0.0099999997764825,1.2851477,2.0392895,0.058938403,0.097618416,0.2378751953125,0.3027826737642288,0.2051642578125,3700,1.7741383833793931,0.20544467691719764,16.140512466430664
ConvNN-1231k,1231552.0,last_layer,kron,0.0099999997764825,1.2989919,2.1058967,0.06178334,0.104209684,0.2436789453125,0.3153452697730065,0.2111355859375,3790,1.8336258147248605,0.21141612447114871,16.751487731933594
ConvNN-1276k,1276680.0,last_layer,kron,0.0099999997764825,1.297492,2.12968,0.06374411,0.1089652,0.2481684765625,0.323604714884758,0.21463951171875,3870,1.8477918832060076,0.21492012033231594,16.915863037109375
ConvNN-1339k,1339327.0,last_layer,kron,0.0099999997764825,1.2720504,2.08796,0.06438938,0.11138363,0.2497430859375,0.326484862294197,0.21510123046875,3950,1.836249185268676,0.21538184831687562,16.844242095947266
ConvNN-1386k,1386951.0,last_layer,kron,0.0099999997764825,1.2440314,2.0558503,0.06513643,0.11263527,0.25194728515625,0.3284960119485855,0.2158607421875,4040,1.8070956853701186,0.2161413752261638,16.170490264892578
ConvNN-1452k,1452219.0,last_layer,kron,0.0099999997764825,1.2190937,2.0041232,0.06425274,0.110070765,0.2524069140625,0.3248005111122131,0.21472974609375,4120,1.7673323451776868,0.21501035651203954,15.639076232910156
